Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Temperature,Pressure,Wind Speed
2012,1,1,0,30,0,0,20,21.44919421,974,2
2012,1,1,1,30,0,0,19,21.17441042,973,2
2012,1,1,2,30,0,0,19,20.84186031,973,2
2012,1,1,3,30,0,0,19,20.36149357,973,2
2012,1,1,4,30,0,0,19,19.88930603,973,2
2012,1,1,5,30,0,0,20,21.19308929,976,2
2012,1,1,6,30,0,0,20,21.18319949,977,2
2012,1,1,7,30,50,0,21,21.63566485,978,2
2012,1,1,8,30,125,0,21,22.46797443,978,2
2012,1,1,9,30,177,2,21,23.75031589,978,2
2012,1,1,10,30,215,5,22,25.16160639,977,3
2012,1,1,11,30,177,1,22,26.2784082,975,3
2012,1,1,12,30,172,1,22,26.85976828,974,3
2012,1,1,13,30,197,2,21,26.84796913,973,3
2012,1,1,14,30,206,6,21,26.37823027,973,4
2012,1,1,15,30,81,0,21,25.50497263,973,4
2012,1,1,16,30,50,0,21,24.46696185,973,3
2012,1,1,17,30,4,0,21,23.54717283,974,3
2012,1,1,18,30,0,0,21,22.97072991,975,3
2012,1,1,19,30,0,0,21,22.49143901,975,4
2012,1,1,20,30,0,0,21,22.02384858,976,3
2012,1,1,21,30,0,0,21,21.57984667,976,3
2012,1,1,22,30,0,0,21,21.2173972,975,3
2012,1,1,23,30,0,0,20,21.10647836,975,3
2012,1,2,0,30,0,0,20,21.09433494,975,3
2012,1,2,1,30,0,0,20,21.02335595,975,2
2012,1,2,2,30,0,0,20,20.94588848,974,2
2012,1,2,3,30,0,0,20,20.90435557,975,2
2012,1,2,4,30,0,0,20,20.82963324,975,1
2012,1,2,5,30,0,0,20,20.76065058,975,1
2012,1,2,6,30,0,0,20,20.80760421,976,1
2012,1,2,7,30,60,17,20,21.50214388,977,1
2012,1,2,8,30,172,104,21,22.90491705,978,1
2012,1,2,9,30,235,27,21,25.028448,978,1
2012,1,2,10,30,325,77,22,26.46811281,977,1
2012,1,2,11,30,379,109,22,27.23508502,976,1
2012,1,2,12,30,383,112,22,27.56091687,974,1
2012,1,2,13,30,325,432,22,27.42197315,973,1
2012,1,2,14,30,296,122,22,26.95482669,973,1
2012,1,2,15,30,145,561,21,26.16517812,973,1
2012,1,2,16,30,108,334,21,25.18714545,973,1
2012,1,2,17,30,8,0,21,24.2396495,974,2
2012,1,2,18,30,0,0,21,23.86714118,974,2
2012,1,2,19,30,0,0,21,23.54355031,975,2
2012,1,2,20,30,0,0,21,23.17393748,976,2
2012,1,2,21,30,0,0,21,22.79134964,976,2
2012,1,2,22,30,0,0,21,22.41884698,975,2
2012,1,2,23,30,0,0,21,22.06866789,975,2
2012,1,3,0,30,0,0,21,21.75968903,975,2
2012,1,3,1,30,0,0,21,21.71478752,974,2
2012,1,3,2,30,0,0,21,21.68906396,974,2
2012,1,3,3,30,0,0,21,21.59099793,973,1
2012,1,3,4,30,0,0,21,21.51393731,974,1
2012,1,3,5,30,0,0,21,21.38035821,974,1
2012,1,3,6,30,0,0,21,21.39671337,975,1
2012,1,3,7,30,70,50,21,22.09943991,976,1
2012,1,3,8,30,179,81,21,23.47984368,977,1
2012,1,3,9,30,267,66,22,25.54337504,977,1
2012,1,3,10,30,336,185,23,27.27944258,976,1
2012,1,3,11,30,294,546,22,28.34677724,975,0
2012,1,3,12,30,247,659,22,28.96588871,974,0
2012,1,3,13,30,186,722,22,29.01658039,973,0
2012,1,3,14,30,269,401,21,28.71811356,972,0
2012,1,3,15,30,189,424,21,27.86636746,972,0
2012,1,3,16,30,101,384,22,25.14734855,973,0
2012,1,3,17,30,9,0,22,24.72780583,973,0
2012,1,3,18,30,0,0,22,24.3017193,974,1
2012,1,3,19,30,0,0,21,24.24332344,975,1
2012,1,3,20,30,0,0,21,24.05052745,975,1
2012,1,3,21,30,0,0,21,23.69002441,975,1
2012,1,3,22,30,0,0,21,23.29394406,974,1
2012,1,3,23,30,0,0,20,22.90205452,974,1
2012,1,4,0,30,0,0,20,22.43168924,974,1
2012,1,4,1,30,0,0,20,21.93766152,973,1
2012,1,4,2,30,0,0,20,21.46758696,973,2
2012,1,4,3,30,0,0,20,20.98979416,973,2
2012,1,4,4,30,0,0,20,20.57270217,974,2
2012,1,4,5,30,0,0,20,20.28200146,974,2
2012,1,4,6,30,0,0,20,20.85084395,976,2
2012,1,4,7,30,73,58,20,22.02745133,977,1
2012,1,4,8,30,168,249,21,23.74100361,977,1
2012,1,4,9,30,160,624,22,26.57141976,978,1
2012,1,4,10,30,180,700,22,27.89086459,977,1
2012,1,4,11,30,190,736,22,28.52781608,975,1
2012,1,4,12,30,192,743,22,28.42715386,974,1
2012,1,4,13,30,187,723,21,27.90494387,974,1
2012,1,4,14,30,172,670,21,27.57598917,973,1
2012,1,4,15,30,146,571,21,27.0509211,973,1
2012,1,4,16,30,102,388,21,26.15699324,973,1
2012,1,4,17,30,11,0,21,24.95765446,974,1
2012,1,4,18,30,0,0,22,24.5678413,974,0
2012,1,4,19,30,0,0,22,24.15413578,975,0
2012,1,4,20,30,0,0,21,23.69478439,975,0
2012,1,4,21,30,0,0,20,23.20326003,976,1
2012,1,4,22,30,0,0,20,22.79804497,975,1
2012,1,4,23,30,0,0,20,22.42186468,975,1
2012,1,5,0,30,0,0,19,22.00793749,975,1
2012,1,5,1,30,0,0,19,21.51856266,975,1
2012,1,5,2,30,0,0,19,21.0258591,975,1
2012,1,5,3,30,0,0,19,20.56350311,975,1
2012,1,5,4,30,0,0,19,20.1268158,975,1
2012,1,5,5,30,0,0,19,19.73401565,976,1
2012,1,5,6,30,0,0,19,20.23177309,977,1
2012,1,5,7,30,62,224,20,22.21337243,978,1
2012,1,5,8,30,125,488,21,24.48413395,979,1
2012,1,5,9,30,160,630,22,27.24739136,979,1
2012,1,5,10,30,181,707,22,28.58601867,978,1
2012,1,5,11,30,191,744,22,28.88018515,977,1
2012,1,5,12,30,194,751,22,28.65039626,976,1
2012,1,5,13,30,188,731,21,28.17538939,976,1
2012,1,5,14,30,173,680,21,27.52514521,975,1
2012,1,5,15,30,148,581,21,26.80386426,975,1
2012,1,5,16,30,103,398,21,25.88603029,976,1
2012,1,5,17,30,12,0,21,24.58641039,976,1
2012,1,5,18,30,0,0,20,23.99994571,976,1
2012,1,5,19,30,0,0,20,23.42360604,977,1
2012,1,5,20,30,0,0,19,22.86295169,977,1
2012,1,5,21,30,0,0,19,22.36587785,977,1
2012,1,5,22,30,0,0,19,21.87460446,977,1
2012,1,5,23,30,0,0,19,21.43844306,977,1
2012,1,6,0,30,0,0,19,21.00119899,976,1
2012,1,6,1,30,0,0,19,20.54410463,976,2
2012,1,6,2,30,0,0,19,20.14531044,976,2
2012,1,6,3,30,0,0,19,19.77275108,976,1
2012,1,6,4,30,0,0,19,19.45028411,976,1
2012,1,6,5,30,0,0,19,19.16440852,977,2
2012,1,6,6,30,0,0,19,19.74166465,978,2
2012,1,6,7,30,63,227,20,22.04998335,979,1
2012,1,6,8,30,157,295,21,24.77396945,979,1
2012,1,6,9,30,255,326,21,27.50435828,979,1
2012,1,6,10,30,182,714,21,28.96064336,979,1
2012,1,6,11,30,192,752,21,29.4098743,977,2
2012,1,6,12,30,195,760,20,29.32447933,976,2
2012,1,6,13,30,189,740,20,29.04736298,975,2
2012,1,6,14,30,174,686,20,28.46563833,975,2
2012,1,6,15,30,148,585,20,27.62821843,975,2
2012,1,6,16,30,104,401,20,26.29761511,975,2
2012,1,6,17,30,14,0,20,24.72158148,975,2
2012,1,6,18,30,0,0,19,24.03382212,976,2
2012,1,6,19,30,0,0,19,23.41254391,977,3
2012,1,6,20,30,0,0,19,22.80515049,977,3
2012,1,6,21,30,0,0,18,22.1973885,977,3
2012,1,6,22,30,0,0,18,21.58942653,977,3
2012,1,6,23,30,0,0,18,20.97605272,977,3
2012,1,7,0,30,0,0,18,20.40322802,976,3
2012,1,7,1,30,0,0,18,19.87782781,976,3
2012,1,7,2,30,0,0,18,19.41887122,976,3
2012,1,7,3,30,0,0,18,19.01510637,976,3
2012,1,7,4,30,0,0,18,18.77552852,976,3
2012,1,7,5,30,0,0,18,18.83777446,977,2
2012,1,7,6,30,0,0,18,19.2676949,978,2
2012,1,7,7,30,64,59,18,20.43283932,979,2
2012,1,7,8,30,164,294,19,22.40708972,979,2
2012,1,7,9,30,199,515,19,25.57440937,980,2
2012,1,7,10,30,181,707,19,27.78313925,979,2
2012,1,7,11,30,192,744,19,28.96576697,978,2
2012,1,7,12,30,194,752,19,29.46473345,977,1
2012,1,7,13,30,188,731,19,29.35525167,977,1
2012,1,7,14,30,174,679,19,28.78196793,976,1
2012,1,7,15,30,148,580,19,27.77675293,976,1
2012,1,7,16,30,104,398,19,26.46692523,976,1
2012,1,7,17,30,16,0,19,25.27421476,977,1
2012,1,7,18,30,0,0,19,24.71893498,978,1
2012,1,7,19,30,0,0,18,24.16120611,978,2
2012,1,7,20,30,0,0,18,23.57276268,979,2
2012,1,7,21,30,0,0,18,22.77387393,979,2
2012,1,7,22,30,0,0,17,21.86730877,978,3
2012,1,7,23,30,0,0,17,21.00554425,978,3
2012,1,8,0,30,0,0,17,20.19676545,978,2
2012,1,8,1,30,0,0,17,19.5188842,977,2
2012,1,8,2,30,0,0,17,19.0113901,977,2
2012,1,8,3,30,0,0,17,18.59287268,977,2
2012,1,8,4,30,0,0,18,18.2870608,977,2
2012,1,8,5,30,0,0,18,18.10643447,978,2
2012,1,8,6,30,0,0,18,18.96459428,979,2
2012,1,8,7,30,67,42,19,20.27594988,980,1
2012,1,8,8,30,173,71,19,22.22913016,981,1
2012,1,8,9,30,276,198,20,25.39529518,981,1
2012,1,8,10,30,242,619,19,27.74189207,980,1
2012,1,8,11,30,192,751,19,29.05210799,978,1
2012,1,8,12,30,195,759,19,29.2910617,977,1
2012,1,8,13,30,189,739,19,29.00915145,976,1
2012,1,8,14,30,175,687,19,28.46039762,975,1
2012,1,8,15,30,149,590,18,27.50303001,975,1
2012,1,8,16,30,106,409,19,26.03921274,975,1
2012,1,8,17,30,14,0,18,24.26395862,976,2
2012,1,8,18,30,0,0,18,23.60557109,976,2
2012,1,8,19,30,0,0,17,22.99921533,977,2
2012,1,8,20,30,0,0,16,22.4015549,977,2
2012,1,8,21,30,0,0,16,21.74873308,977,3
2012,1,8,22,30,0,0,16,21.05119787,976,3
2012,1,8,23,30,0,0,16,20.30859522,976,3
2012,1,9,0,30,0,0,16,19.56371312,976,3
2012,1,9,1,30,0,0,16,18.86579998,975,3
2012,1,9,2,30,0,0,16,18.31416432,975,3
2012,1,9,3,30,0,0,17,17.85966902,975,2
2012,1,9,4,30,0,0,17,17.69156835,975,2
2012,1,9,5,30,0,0,17,17.71602145,976,2
2012,1,9,6,30,0,0,17,18.40482375,977,2
2012,1,9,7,30,68,170,18,19.69631416,978,1
2012,1,9,8,30,171,112,18,21.77227247,979,1
2012,1,9,9,30,258,305,19,23.49243196,979,1
2012,1,9,10,30,266,542,19,25.52731803,979,1
2012,1,9,11,30,192,744,20,27.9185108,977,1
2012,1,9,12,30,194,754,20,28.30067604,975,1
2012,1,9,13,30,349,368,20,28.14745022,974,1
2012,1,9,14,30,246,489,19,27.56249936,974,1
2012,1,9,15,30,150,591,19,26.65755949,973,1
2012,1,9,16,30,110,391,19,25.22622122,973,1
2012,1,9,17,30,12,0,19,23.49843847,974,1
2012,1,9,18,30,0,0,19,22.89759861,975,1
2012,1,9,19,30,0,0,18,22.41424998,976,2
2012,1,9,20,30,0,0,18,22.00940003,976,2
2012,1,9,21,30,0,0,18,21.60974651,976,2
2012,1,9,22,30,0,0,18,21.18523657,976,2
2012,1,9,23,30,0,0,18,20.69586355,975,2
2012,1,10,0,30,0,0,18,20.19671261,975,2
2012,1,10,1,30,0,0,18,19.67838354,975,2
2012,1,10,2,30,0,0,18,19.33195584,975,2
2012,1,10,3,30,0,0,18,19.14692651,975,2
2012,1,10,4,30,0,0,18,19.13649781,976,2
2012,1,10,5,30,0,0,18,19.28061611,976,1
2012,1,10,6,30,0,0,19,19.4655755,977,1
2012,1,10,7,30,72,71,19,20.40655694,978,1
2012,1,10,8,30,188,142,20,22.09447892,978,1
2012,1,10,9,30,277,198,20,23.82960601,978,1
2012,1,10,10,30,181,703,21,25.19131926,977,1
2012,1,10,11,30,341,84,21,26.07332494,976,1
2012,1,10,12,30,391,268,20,26.31941092,974,1
